Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
05/20/2025 11:59,05/20/2025 12:03,XAUUSD,Sell,2.020,0.00000,0.00000,3234.16000,3233.14000,-10.1000,0.0000,102.0,172.87,0.39,00:00:04:33,,,,,,,,,,,,
05/20/2025 11:56,05/20/2025 12:03,XAUUSD,Sell,2.020,0.00000,0.00000,3233.15000,3233.14000,-10.1000,0.0000,1.0,-8.31,-0.02,00:00:07:33,,,,,,,,,,,,
05/20/2025 11:55,05/20/2025 12:03,XAUUSD,Sell,2.020,0.00000,0.00000,3230.84000,3233.21000,-10.1000,0.0000,-237.0,-435.29,-0.96,00:00:08:33,,,,,,,,,,,,
05/20/2025 11:53,05/20/2025 12:03,XAUUSD,Sell,2.020,0.00000,0.00000,3230.38000,3233.16000,-10.1000,0.0000,-278.0,-508.85,-1.11,00:00:10:33,,,,,,,,,,,,
05/20/2025 12:01,05/20/2025 12:03,XAUUSD,Sell,2.020,0.00000,0.00000,3236.46000,3233.14000,-10.1000,0.0000,332.0,585.46,1.30,00:00:02:32,,,,,,,,,,,,
05/15/2025 05:43,05/15/2025 05:43,XAUUSD,Buy,2.020,0.00000,0.00000,3155.61000,3157.16000,-10.1000,0.0000,155.0,269.60,0.60,00:00:00:32,,,,,,,,,,,,
05/15/2025 05:42,05/15/2025 05:43,XAUUSD,Buy,2.020,0.00000,0.00000,3156.37000,3157.25000,-10.1000,0.0000,88.0,148.70,0.33,00:00:01:32,,,,,,,,,,,,
05/15/2025 05:41,05/15/2025 05:43,XAUUSD,Buy,2.020,0.00000,0.00000,3157.00000,3157.29000,-10.1000,0.0000,29.0,42.23,0.09,00:00:02:32,,,,,,,,,,,,
05/14/2025 15:02,05/14/2025 15:02,XAUUSD,Buy,2.020,0.00000,0.00000,3218.27000,3220.77000,-10.1000,0.0000,250.0,439.88,0.99,00:00:00:54,,,,,,,,,,,,
05/08/2025 08:17,05/08/2025 08:18,XAUUSD,Buy,1.820,0.00000,0.00000,3371.87000,3374.61000,-9.1000,0.0000,274.0,432.08,0.99,00:00:01:21,,,,,,,,,,,,
05/05/2025 04:13,05/05/2025 04:17,XAUUSD,Sell,1.820,0.00000,0.00000,3257.83000,3258.17000,-9.1000,0.0000,-34.0,-63.71,-0.15,00:00:04:12,,,,,,,,,,,,
05/05/2025 04:16,05/05/2025 04:17,XAUUSD,Sell,1.820,0.00000,0.00000,3260.00000,3258.26000,-9.1000,0.0000,174.0,270.32,0.62,00:00:01:11,,,,,,,,,,,,
05/05/2025 04:15,05/05/2025 04:17,XAUUSD,Sell,1.820,0.00000,0.00000,3259.15000,3258.17000,-9.1000,0.0000,98.0,148.28,0.34,00:00:02:11,,,,,,,,,,,,
05/05/2025 04:14,05/05/2025 04:17,XAUUSD,Sell,1.820,0.00000,0.00000,3258.65000,3258.17000,-9.1000,0.0000,48.0,67.98,0.16,00:00:03:11,,,,,,,,,,,,
